detectorid,starttime,volume,speed,occupancy,status
1502,2011-01-01 00:03:20-08,0,0,0,0
1495,2011-01-01 00:03:20-08,0,0,0,0
1489,2011-01-01 00:03:20-08,0,0,0,0
1490,2011-01-01 00:03:20-08,0,0,0,0
1544,2011-01-01 00:03:40-08,2,57,2,2
1538,2011-01-01 00:03:40-08,1,47,1,2
1530,2011-01-01 00:03:40-08,0,0,0,0
1524,2011-01-01 00:03:40-08,2,58,2,2
1516,2011-01-01 00:03:40-08,2,55,2,2
1509,2011-01-01 00:03:40-08,0,0,0,0
1502,2011-01-01 00:03:40-08,0,0,0,0
1495,2011-01-01 00:03:40-08,0,0,0,0
1489,2011-01-01 00:03:40-08,0,0,0,0
1490,2011-01-01 00:03:40-08,0,0,0,0
1495,2011-01-01 00:04:00-08,0,0,0,0
1489,2011-01-01 00:04:00-08,0,0,0,0
1490,2011-01-01 00:04:00-08,0,0,0,0
1544,2011-01-01 00:04:00-08,0,0,0,0
1538,2011-01-01 00:04:00-08,1,51,1,2
1530,2011-01-01 00:04:00-08,0,0,0,0
1524,2011-01-01 00:04:00-08,1,54,1,2
1516,2011-01-01 00:04:00-08,2,0,0,3
1509,2011-01-01 00:04:00-08,1,56,1,2
1502,2011-01-01 00:04:00-08,0,0,0,0
1544,2011-01-01 00:04:20-08,1,47,1,2
1538,2011-01-01 00:04:20-08,1,55,1,2
1530,2011-01-01 00:04:20-08,1,67,1,2
1524,2011-01-01 00:04:20-08,3,56,2,2
1516,2011-01-01 00:04:20-08,0,0,0,0
1509,2011-01-01 00:04:20-08,0,0,0,0
1502,2011-01-01 00:04:20-08,0,0,0,0
1495,2011-01-01 00:04:20-08,0,0,0,0
1489,2011-01-01 00:04:20-08,0,0,0,0
1490,2011-01-01 00:04:20-08,0,0,0,0
1544,2011-01-01 00:04:40-08,0,0,0,0
1538,2011-01-01 00:04:40-08,0,0,0,0
1530,2011-01-01 00:04:40-08,0,0,0,0
1524,2011-01-01 00:04:40-08,2,64,1,2
1516,2011-01-01 00:04:40-08,0,0,0,0
1509,2011-01-01 00:04:40-08,0,0,0,0
1502,2011-01-01 00:04:40-08,0,0,0,0
1495,2011-01-01 00:04:40-08,0,0,0,0
1489,2011-01-01 00:04:40-08,0,0,0,0
1490,2011-01-01 00:04:40-08,0,0,0,0
1544,2011-01-01 00:05:00-08,0,0,0,0
1538,2011-01-01 00:05:00-08,0,0,0,0
1530,2011-01-01 00:05:00-08,1,58,1,2
1524,2011-01-01 00:05:00-08,2,62,5,2
1516,2011-01-01 00:05:00-08,1,50,2,2
1509,2011-01-01 00:05:00-08,0,0,0,0
1502,2011-01-01 00:05:00-08,0,0,0,0
1495,2011-01-01 00:05:00-08,1,55,1,2
1489,2011-01-01 00:05:00-08,0,0,0,0
1490,2011-01-01 00:05:00-08,0,0,0,0
1544,2011-01-01 00:05:20-08,1,47,1,2
1538,2011-01-01 00:05:20-08,1,52,1,2
1530,2011-01-01 00:05:20-08,0,0,0,0
1524,2011-01-01 00:05:20-08,2,60,1,2
1516,2011-01-01 00:05:20-08,0,0,0,0
1509,2011-01-01 00:05:20-08,0,0,0,0
1502,2011-01-01 00:05:20-08,2,59,2,2
1495,2011-01-01 00:05:20-08,2,69,2,2
1489,2011-01-01 00:05:20-08,0,0,0,0
1490,2011-01-01 00:05:20-08,0,0,0,0
1544,2011-01-01 00:05:40-08,1,60,1,2
1538,2011-01-01 00:05:40-08,1,60,1,2
1530,2011-01-01 00:05:40-08,0,0,0,0
1524,2011-01-01 00:05:40-08,1,69,1,2
1516,2011-01-01 00:05:40-08,0,0,0,0
1509,2011-01-01 00:05:40-08,0,0,0,0
1502,2011-01-01 00:05:40-08,1,72,1,2
1495,2011-01-01 00:05:40-08,0,0,0,0
1489,2011-01-01 00:05:40-08,0,0,0,0
1490,2011-01-01 00:05:40-08,0,0,0,0
1544,2011-01-01 00:06:00-08,1,58,0,3
1538,2011-01-01 00:06:00-08,2,56,3,2
1530,2011-01-01 00:06:00-08,0,0,0,0
1524,2011-01-01 00:06:00-08,2,61,3,2
1516,2011-01-01 00:06:00-08,0,0,0,0
1509,2011-01-01 00:06:00-08,0,0,0,0
1502,2011-01-01 00:06:00-08,0,0,0,0
1495,2011-01-01 00:06:00-08,1,58,1,2
1489,2011-01-01 00:06:00-08,0,0,0,0
1490,2011-01-01 00:06:00-08,0,0,0,0
1544,2011-01-01 00:06:20-08,0,0,0,0
1538,2011-01-01 00:06:20-08,2,54,3,2
1530,2011-01-01 00:06:20-08,0,0,0,0
1524,2011-01-01 00:06:20-08,2,61,1,2
1516,2011-01-01 00:06:20-08,0,0,0,0
1509,2011-01-01 00:06:20-08,3,63,3,2
1502,2011-01-01 00:06:20-08,1,60,1,2
1495,2011-01-01 00:06:20-08,0,0,0,0
1489,2011-01-01 00:06:20-08,0,0,0,0
1490,2011-01-01 00:06:20-08,0,0,0,0
1544,2011-01-01 00:06:40-08,1,54,1,2
1538,2011-01-01 00:06:40-08,2,56,6,2
1530,2011-01-01 00:06:40-08,0,0,0,0
1524,2011-01-01 00:06:40-08,1,48,0,3
1516,2011-01-01 00:06:40-08,0,0,0,0
1509,2011-01-01 00:06:40-08,0,0,0,0
1502,2011-01-01 00:06:40-08,0,0,0,0
1495,2011-01-01 00:06:40-08,1,58,1,2
1489,2011-01-01 00:06:40-08,0,0,0,0
1490,2011-01-01 00:06:40-08,0,0,0,0
1544,2011-01-01 00:07:00-08,1,64,1,2
1538,2011-01-01 00:07:00-08,3,53,4,2
1530,2011-01-01 00:07:00-08,0,0,0,0
1524,2011-01-01 00:07:00-08,0,0,0,0
1516,2011-01-01 00:07:00-08,0,0,0,0
1509,2011-01-01 00:07:00-08,0,0,0,0
1502,2011-01-01 00:07:00-08,1,64,1,2
1495,2011-01-01 00:07:00-08,1,57,1,2
1489,2011-01-01 00:07:00-08,0,0,0,0
1490,2011-01-01 00:07:00-08,0,0,0,0
1544,2011-01-01 00:07:20-08,0,0,0,0
1538,2011-01-01 00:07:20-08,0,0,0,0
1530,2011-01-01 00:07:20-08,0,0,0,0
1524,2011-01-01 00:07:20-08,1,39,3,2
1516,2011-01-01 00:07:20-08,3,60,3,2
1509,2011-01-01 00:07:20-08,1,65,1,2
1502,2011-01-01 00:07:20-08,1,60,1,2
1495,2011-01-01 00:07:20-08,0,0,0,0
1489,2011-01-01 00:07:20-08,0,0,0,0
1490,2011-01-01 00:07:20-08,0,0,0,0
1544,2011-01-01 00:07:40-08,0,0,0,0
1538,2011-01-01 00:07:40-08,1,62,1,2
1530,2011-01-01 00:07:40-08,0,0,0,0
1524,2011-01-01 00:07:40-08,2,60,1,2
1516,2011-01-01 00:07:40-08,0,0,0,0
1509,2011-01-01 00:07:40-08,1,62,1,2
1502,2011-01-01 00:07:40-08,1,57,1,2
1495,2011-01-01 00:07:40-08,1,57,1,2
1489,2011-01-01 00:07:40-08,0,0,0,0
1490,2011-01-01 00:07:40-08,0,0,0,0
1544,2011-01-01 00:08:00-08,0,0,0,0
1538,2011-01-01 00:08:00-08,1,55,1,2
1530,2011-01-01 00:08:00-08,0,0,0,0
1524,2011-01-01 00:08:00-08,2,55,2,2
1516,2011-01-01 00:08:00-08,1,65,1,2
1509,2011-01-01 00:08:00-08,1,61,1,2
1502,2011-01-01 00:08:00-08,0,0,0,0
1495,2011-01-01 00:08:00-08,0,0,0,0
1489,2011-01-01 00:08:00-08,0,0,0,0
1490,2011-01-01 00:08:00-08,0,0,0,0
1509,2011-01-01 00:08:20-08,0,0,0,0
1502,2011-01-01 00:08:20-08,0,0,0,0
1495,2011-01-01 00:08:20-08,0,0,0,0
1489,2011-01-01 00:08:20-08,0,0,0,0
1490,2011-01-01 00:08:20-08,0,0,0,0
1544,2011-01-01 00:08:20-08,0,0,0,0
1538,2011-01-01 00:08:20-08,1,54,1,2
1530,2011-01-01 00:08:20-08,0,0,0,0
1524,2011-01-01 00:08:20-08,2,61,1,2
1516,2011-01-01 00:08:20-08,0,0,0,0
1544,2011-01-01 00:08:40-08,0,0,0,0
1538,2011-01-01 00:08:40-08,1,55,1,2
1530,2011-01-01 00:08:40-08,1,77,0,3
1524,2011-01-01 00:08:40-08,1,41,1,2
1516,2011-01-01 00:08:40-08,1,61,1,2
1509,2011-01-01 00:08:40-08,0,0,0,0
1502,2011-01-01 00:08:40-08,0,0,0,0
1495,2011-01-01 00:08:40-08,0,0,0,0
1489,2011-01-01 00:08:40-08,0,0,0,0
1490,2011-01-01 00:08:40-08,0,0,0,0
1544,2011-01-01 00:09:00-08,0,0,0,0
1538,2011-01-01 00:09:00-08,0,0,0,0
1530,2011-01-01 00:09:00-08,0,0,0,0
1524,2011-01-01 00:09:00-08,1,53,0,3
1516,2011-01-01 00:09:00-08,1,58,1,2
1509,2011-01-01 00:09:00-08,0,0,0,0
1502,2011-01-01 00:09:00-08,0,0,0,0
1495,2011-01-01 00:09:00-08,0,0,0,0
1489,2011-01-01 00:09:00-08,0,0,0,0
1490,2011-01-01 00:09:00-08,0,0,0,0
1544,2011-01-01 00:09:20-08,0,0,0,0
1538,2011-01-01 00:09:20-08,0,0,0,0
1530,2011-01-01 00:09:20-08,0,0,0,0
1524,2011-01-01 00:09:20-08,1,70,0,3
1516,2011-01-01 00:09:20-08,0,0,0,0
1509,2011-01-01 00:09:20-08,0,0,0,0
1502,2011-01-01 00:09:20-08,1,65,1,2
1495,2011-01-01 00:09:20-08,0,0,0,0
1489,2011-01-01 00:09:20-08,0,0,0,0
1490,2011-01-01 00:09:20-08,0,0,0,0
1544,2011-01-01 00:09:40-08,0,0,0,0
1538,2011-01-01 00:09:40-08,3,59,4,2
1530,2011-01-01 00:09:40-08,1,67,1,2
1524,2011-01-01 00:09:40-08,1,53,0,3
1516,2011-01-01 00:09:40-08,1,58,1,2
1509,2011-01-01 00:09:40-08,0,0,0,0
1502,2011-01-01 00:09:40-08,0,0,0,0
1495,2011-01-01 00:09:40-08,0,0,0,0
1489,2011-01-01 00:09:40-08,0,0,0,0
1490,2011-01-01 00:09:40-08,0,0,0,0
1544,2011-01-01 00:10:00-08,0,0,0,0
1538,2011-01-01 00:10:00-08,0,0,0,0
1530,2011-01-01 00:10:00-08,0,0,0,0
1524,2011-01-01 00:10:00-08,1,54,1,2
1516,2011-01-01 00:10:00-08,0,0,0,0
1509,2011-01-01 00:10:00-08,0,0,0,0
1502,2011-01-01 00:10:00-08,0,0,0,0
1495,2011-01-01 00:10:00-08,0,0,0,0
1489,2011-01-01 00:10:00-08,0,0,0,0
1490,2011-01-01 00:10:00-08,0,0,0,0
1544,2011-01-01 00:10:20-08,0,0,0,0
1538,2011-01-01 00:10:20-08,0,0,0,0
1530,2011-01-01 00:10:20-08,1,52,1,2
1524,2011-01-01 00:10:20-08,0,0,0,0
1516,2011-01-01 00:10:20-08,0,0,0,0
1509,2011-01-01 00:10:20-08,0,0,0,0
1502,2011-01-01 00:10:20-08,0,0,0,0
1495,2011-01-01 00:10:20-08,1,54,1,2
1489,2011-01-01 00:10:20-08,0,0,0,0
1490,2011-01-01 00:10:20-08,0,0,0,0
1544,2011-01-01 00:10:40-08,0,0,0,0
1538,2011-01-01 00:10:40-08,1,59,1,2
1530,2011-01-01 00:10:40-08,1,61,1,2
1524,2011-01-01 00:10:40-08,0,0,0,0
1516,2011-01-01 00:10:40-08,0,0,0,0
1509,2011-01-01 00:10:40-08,0,0,0,0
1502,2011-01-01 00:10:40-08,1,57,1,2
1495,2011-01-01 00:10:40-08,0,0,0,0
1489,2011-01-01 00:10:40-08,0,0,0,0
1490,2011-01-01 00:10:40-08,0,0,0,0
1544,2011-01-01 00:11:00-08,2,60,2,2
1538,2011-01-01 00:11:00-08,2,58,2,2
1530,2011-01-01 00:11:00-08,0,0,0,0
1524,2011-01-01 00:11:00-08,1,57,0,3
1516,2011-01-01 00:11:00-08,0,0,0,0
1509,2011-01-01 00:11:00-08,0,0,0,0
1502,2011-01-01 00:11:00-08,0,0,0,0
1495,2011-01-01 00:11:00-08,0,0,0,0
1489,2011-01-01 00:11:00-08,0,0,0,0
1490,2011-01-01 00:11:00-08,0,0,0,0
1544,2011-01-01 00:11:20-08,2,57,1,2
1538,2011-01-01 00:11:20-08,2,55,3,2
1530,2011-01-01 00:11:20-08,1,61,1,2
1524,2011-01-01 00:11:20-08,1,53,0,3
1516,2011-01-01 00:11:20-08,0,0,0,0
1509,2011-01-01 00:11:20-08,0,0,0,0
1502,2011-01-01 00:11:20-08,0,0,0,0
1495,2011-01-01 00:11:20-08,0,0,0,0
1489,2011-01-01 00:11:20-08,0,0,0,0
1490,2011-01-01 00:11:20-08,0,0,0,0
1544,2011-01-01 00:11:40-08,1,57,2,2
1538,2011-01-01 00:11:40-08,1,62,1,2
1530,2011-01-01 00:11:40-08,1,58,1,2
1524,2011-01-01 00:11:40-08,3,61,3,2
1516,2011-01-01 00:11:40-08,0,0,0,0
1509,2011-01-01 00:11:40-08,0,0,0,0
1502,2011-01-01 00:11:40-08,0,0,0,0
1495,2011-01-01 00:11:40-08,0,0,0,0
1489,2011-01-01 00:11:40-08,0,0,0,0
1490,2011-01-01 00:11:40-08,0,0,0,0
1544,2011-01-01 00:12:00-08,0,0,0,0
1538,2011-01-01 00:12:00-08,0,0,0,0
1530,2011-01-01 00:12:00-08,0,0,0,0
1524,2011-01-01 00:12:00-08,2,61,1,2
1516,2011-01-01 00:12:00-08,0,0,0,0
1509,2011-01-01 00:12:00-08,0,0,0,0
1502,2011-01-01 00:12:00-08,0,0,0,0
1495,2011-01-01 00:12:00-08,0,0,0,0
1489,2011-01-01 00:12:00-08,0,0,0,0
1490,2011-01-01 00:12:00-08,0,0,0,0
1544,2011-01-01 00:12:20-08,2,56,2,2
1538,2011-01-01 00:12:20-08,2,54,2,2
1530,2011-01-01 00:12:20-08,1,59,1,2
1524,2011-01-01 00:12:20-08,2,55,1,2
1516,2011-01-01 00:12:20-08,0,0,0,0
1509,2011-01-01 00:12:20-08,1,64,1,2
1502,2011-01-01 00:12:20-08,0,0,0,0
1495,2011-01-01 00:12:20-08,0,0,0,0
1489,2011-01-01 00:12:20-08,0,0,0,0
1490,2011-01-01 00:12:20-08,0,0,0,0
1544,2011-01-01 00:12:40-08,0,0,0,0
1538,2011-01-01 00:12:40-08,1,59,1,2
1530,2011-01-01 00:12:40-08,0,0,0,0
1524,2011-01-01 00:12:40-08,1,54,0,3
1516,2011-01-01 00:12:40-08,1,58,1,2
1509,2011-01-01 00:12:40-08,0,0,0,0
1502,2011-01-01 00:12:40-08,0,0,0,0
1495,2011-01-01 00:12:40-08,0,0,0,0
1489,2011-01-01 00:12:40-08,0,0,0,0
1490,2011-01-01 00:12:40-08,0,0,0,0
1544,2011-01-01 00:13:00-08,1,57,0,3
1538,2011-01-01 00:13:00-08,1,57,1,2
1530,2011-01-01 00:13:00-08,0,0,0,0
1524,2011-01-01 00:13:00-08,2,54,1,2
1516,2011-01-01 00:13:00-08,0,0,0,0
1509,2011-01-01 00:13:00-08,0,0,0,0
1502,2011-01-01 00:13:00-08,0,0,0,0
1495,2011-01-01 00:13:00-08,0,0,0,0
1489,2011-01-01 00:13:00-08,0,0,0,0
1490,2011-01-01 00:13:00-08,0,0,0,0
1544,2011-01-01 00:13:20-08,1,55,1,2
