detectorid,starttime,volume,speed,occupancy,status
1130,2010-07-20 00:40:00-07,0,-1,0,0
1130,2010-07-20 00:40:20-07,1,58,1,2
1130,2010-07-20 00:40:40-07,1,44,1,2
1130,2010-07-20 00:41:00-07,3,51,5,2
1130,2010-07-20 00:41:20-07,2,51,3,2
1130,2010-07-20 00:41:40-07,0,-1,0,0
1130,2010-07-20 00:42:00-07,1,61,1,2
1130,2010-07-20 00:42:20-07,3,62,4,2
1130,2010-07-20 00:42:40-07,1,67,1,2
1130,2010-07-20 00:43:00-07,0,-1,0,0
1130,2010-07-20 00:43:20-07,1,58,1,2
1130,2010-07-20 00:43:40-07,1,83,1,2
1130,2010-07-20 00:44:00-07,1,58,1,2
1130,2010-07-20 00:44:20-07,0,-1,0,0
1130,2010-07-20 00:44:40-07,1,59,1,2
1130,2010-07-20 00:45:00-07,0,-1,0,0
1130,2010-07-20 00:45:20-07,1,69,1,2
1130,2010-07-20 00:45:40-07,2,63,3,2
1130,2010-07-20 00:46:00-07,0,-1,0,0
1130,2010-07-20 00:46:20-07,0,-1,0,0
1130,2010-07-20 00:46:40-07,1,51,5,2
1130,2010-07-20 00:47:00-07,0,-1,0,0
1130,2010-07-20 00:47:20-07,1,53,1,2
1130,2010-07-20 00:47:40-07,2,64,3,2
1130,2010-07-20 00:48:00-07,0,-1,0,0
1130,2010-07-20 00:48:20-07,0,-1,0,0
1130,2010-07-20 00:48:40-07,0,-1,0,0
1130,2010-07-20 00:49:00-07,0,-1,0,0
1130,2010-07-20 00:49:20-07,0,-1,0,0
1130,2010-07-20 00:49:40-07,0,-1,0,0
1130,2010-07-20 00:50:00-07,0,-1,0,0
1130,2010-07-20 00:50:20-07,2,51,6,2
1130,2010-07-20 00:50:40-07,4,63,6,2
1130,2010-07-20 00:51:00-07,1,69,1,2
1130,2010-07-20 00:51:20-07,3,64,11,2
1130,2010-07-20 00:51:40-07,0,-1,0,0
1130,2010-07-20 00:52:00-07,2,44,6,2
1130,2010-07-20 00:52:20-07,3,64,4,2
1130,2010-07-20 00:52:40-07,0,-1,0,0
1130,2010-07-20 00:53:00-07,2,56,3,2
1130,2010-07-20 00:53:20-07,0,-1,0,0
1130,2010-07-20 00:53:40-07,0,-1,0,0
1130,2010-07-20 00:54:00-07,1,53,2,2
1130,2010-07-20 00:54:20-07,0,-1,0,0
1130,2010-07-20 00:54:40-07,0,-1,0,0
1130,2010-07-20 00:55:00-07,0,-1,0,0
1130,2010-07-20 00:55:20-07,0,-1,0,0
1130,2010-07-20 00:55:40-07,3,56,5,2
1130,2010-07-20 00:56:00-07,1,51,0,3
1130,2010-07-20 00:56:20-07,0,0,1,3
1130,2010-07-20 00:56:40-07,0,-1,0,0
1130,2010-07-20 00:57:00-07,0,-1,0,0
1130,2010-07-20 00:57:20-07,2,63,2,2
1130,2010-07-20 00:57:40-07,0,-1,0,0
1130,2010-07-20 00:58:00-07,1,51,1,2
1130,2010-07-20 00:58:20-07,0,-1,0,0
1130,2010-07-20 00:58:40-07,0,-1,0,0
1130,2010-07-20 00:59:00-07,1,58,2,2
1130,2010-07-20 00:59:20-07,1,61,1,2
1130,2010-07-20 00:59:40-07,0,-1,0,0
1130,2010-07-20 01:00:00-07,3,55,4,2
1130,2010-07-20 01:00:20-07,0,-1,0,0
1130,2010-07-20 01:00:40-07,3,55,4,2
1130,2010-07-20 01:01:00-07,2,51,3,2
1130,2010-07-20 01:01:20-07,0,-1,0,0
1130,2010-07-20 01:01:40-07,1,58,1,2
1130,2010-07-20 01:02:00-07,1,58,2,2
1130,2010-07-20 01:02:20-07,2,78,2,2
1130,2010-07-20 01:02:40-07,2,52,3,2
1130,2010-07-20 01:03:00-07,1,68,1,2
1130,2010-07-20 01:03:20-07,1,61,1,2
1130,2010-07-20 01:03:40-07,0,-1,0,0
1130,2010-07-20 01:04:00-07,1,61,3,2
1130,2010-07-20 01:04:20-07,3,62,4,2
1130,2010-07-20 01:04:40-07,0,-1,0,0
1130,2010-07-20 01:05:00-07,2,64,3,2
1130,2010-07-20 01:05:20-07,1,59,1,2
1130,2010-07-20 01:05:40-07,0,-1,0,0
1130,2010-07-20 01:06:00-07,0,-1,0,0
1130,2010-07-20 01:06:20-07,2,29,4,2
1130,2010-07-20 01:06:40-07,2,58,1,2
1130,2010-07-20 01:07:00-07,2,58,6,2
1130,2010-07-20 01:07:20-07,0,-1,0,0
1130,2010-07-20 01:07:40-07,0,-1,0,0
1130,2010-07-20 01:08:00-07,1,58,3,2
1130,2010-07-20 01:08:20-07,0,-1,0,0
1130,2010-07-20 01:08:40-07,1,51,2,2
1130,2010-07-20 01:09:00-07,0,-1,0,0
1130,2010-07-20 01:09:20-07,1,58,5,2
1130,2010-07-20 01:09:40-07,0,-1,0,0
1130,2010-07-20 01:10:00-07,2,74,3,2
1130,2010-07-20 01:10:20-07,0,-1,0,0
1130,2010-07-20 01:10:40-07,1,69,1,2
1130,2010-07-20 01:11:00-07,1,72,1,2
1130,2010-07-20 01:11:20-07,1,58,1,2
1130,2010-07-20 01:11:40-07,0,-1,0,0
1130,2010-07-20 01:12:00-07,0,-1,0,0
1130,2010-07-20 01:12:20-07,1,69,1,2
1130,2010-07-20 01:12:40-07,0,-1,0,0
1130,2010-07-20 01:13:00-07,2,64,2,2
1130,2010-07-20 01:13:20-07,2,59,3,2
1130,2010-07-20 01:13:40-07,1,69,1,2
1130,2010-07-20 01:14:00-07,1,58,1,2
1130,2010-07-20 01:14:20-07,1,51,1,2
1130,2010-07-20 01:14:40-07,0,-1,0,0
1130,2010-07-20 01:15:00-07,1,58,2,2
1130,2010-07-20 01:15:20-07,0,-1,0,0
1130,2010-07-20 01:15:40-07,2,58,6,2
1130,2010-07-20 01:16:00-07,2,63,2,2
1130,2010-07-20 01:16:20-07,0,-1,0,0
1130,2010-07-20 01:16:40-07,1,50,1,2
1130,2010-07-20 01:17:00-07,1,58,5,2
1130,2010-07-20 01:17:20-07,0,-1,0,0
1130,2010-07-20 01:17:40-07,0,-1,0,0
1130,2010-07-20 01:18:00-07,2,58,7,2
1130,2010-07-20 01:18:20-07,2,55,3,2
1130,2010-07-20 01:18:40-07,1,51,1,2
1130,2010-07-20 01:19:00-07,2,51,6,2
1130,2010-07-20 01:19:20-07,2,58,3,2
1130,2010-07-20 01:19:40-07,1,58,1,2
1130,2010-07-20 01:20:00-07,1,51,1,2
1130,2010-07-20 01:20:20-07,2,64,3,2
1130,2010-07-20 01:20:40-07,1,59,1,2
1130,2010-07-20 01:21:00-07,0,-1,0,0
1130,2010-07-20 01:21:20-07,0,-1,0,0
1130,2010-07-20 01:21:40-07,2,64,6,2
1130,2010-07-20 01:22:00-07,1,61,5,2
1130,2010-07-20 01:22:20-07,1,51,1,2
1130,2010-07-20 01:22:40-07,1,88,1,2
1130,2010-07-20 01:23:00-07,0,-1,0,0
1130,2010-07-20 01:23:20-07,2,52,3,2
1130,2010-07-20 01:23:40-07,0,-1,0,0
1130,2010-07-20 01:24:00-07,0,-1,0,0
1130,2010-07-20 01:24:20-07,1,61,1,2
1130,2010-07-20 01:24:40-07,2,63,3,2
1130,2010-07-20 01:25:00-07,0,-1,0,0
1130,2010-07-20 01:25:20-07,1,58,1,2
1130,2010-07-20 01:25:40-07,0,-1,0,0
1130,2010-07-20 01:26:00-07,0,-1,0,0
1130,2010-07-20 01:26:20-07,0,-1,0,0
1130,2010-07-20 01:26:40-07,0,-1,0,0
1130,2010-07-20 01:27:00-07,0,-1,0,0
1130,2010-07-20 01:27:20-07,0,-1,0,0
1130,2010-07-20 01:27:40-07,0,-1,0,0
1130,2010-07-20 01:28:00-07,4,60,8,2
